NNP,TO,DT,NN,","
NN,IN,DT,VBG,PRP
'',VBZ,DT,NNS,IN
CC,NNS,DT,NN,NNS
MD,VB,DT,NN,RB
MD,VB,DT,NN,.
NN,IN,DT,NN,NN
MD,VB,DT,NN,IN
NN,IN,DT,NN,NN
NN,IN,DT,JJ,CC
CC,VB,DT,NNS,JJR
VBN,IN,DT,NN,NN
NN,NNS,DT,NN,TO
CC,IN,DT,NN,.
MD,VB,DT,NNS,WP
MD,VB,DT,NN,VBZ
IN,NN,DT,NNS,CC
NN,WDT,DT,NNS,VBP
RB,VB,DT,NNS,VBP
MD,VB,DT,NN,.
NN,",",DT,NN,VBZ
",",VBZ,DT,NN,PRP
MD,VB,DT,NNS,","
RB,",",DT,NNS,VBG
",",VBG,DT,NNS,IN
TO,VB,DT,NNS,VBP
NN,IN,DT,NN,IN
VBZ,RB,DT,NN,TO
NN,VBZ,DT,JJ,CC
JJ,TO,DT,NN,.
NN,CC,DT,JJ,NN
CC,VBG,DT,NN,.
NNS,IN,DT,JJ,NNS
VBZ,IN,DT,NNS,IN
JJ,IN,DT,NN,NNS
NN,IN,DT,NNS,WDT
NNS,IN,DT,JJ,NNS
NNP,IN,DT,``,NNP
TO,NN,DT,NN,NN
NNS,IN,DT,NN,IN
TO,NN,DT,JJ,NN
NN,IN,DT,NN,IN
IN,VBG,DT,JJ,JJ
IN,NN,DT,NN,IN
NNS,IN,DT,NN,CC
NNS,IN,DT,``,JJ
NN,IN,DT,NNS,''
VB,RP,DT,NNS,IN
NNS,IN,DT,NNS,IN
RB,IN,DT,NN,WRB
NN,IN,DT,NNS,WDT
VBN,IN,DT,NN,NNS
NN,IN,DT,JJ,NNS
VB,DT,DT,NN,NN
NN,IN,DT,NN,IN
NN,IN,DT,NNP,NN
IN,DT,DT,NN,IN
NN,IN,DT,NN,IN
RB,IN,DT,NN,VBG
VBG,IN,DT,JJ,NN
IN,NNS,DT,NN,IN
NN,IN,DT,NN,IN
CD,IN,DT,DT,JJ
IN,DT,DT,JJ,NNS
NNS,IN,DT,JJ,VBG
NN,",",DT,NN,``
'',IN,DT,NNS,IN
NN,IN,DT,JJ,NN
NN,IN,DT,NN,","
",",TO,DT,JJ,NN
NN,",",DT,NN,MD
NN,IN,DT,NN,NNS
NN,IN,DT,JJ,VBG
",",IN,DT,NN,VBZ
VBP,IN,DT,NN,IN
NN,IN,DT,NN,IN
NN,IN,DT,NNS,IN
",",VBZ,DT,NN,IN
IN,IN,DT,NNS,VBD
NN,CC,DT,JJ,NN
JJ,IN,DT,NNS,NNS
VBN,IN,DT,NN,VBD
NNS,IN,DT,NN,.
JJ,TO,DT,RB,VBG
VBG,IN,DT,JJ,NN
NN,IN,DT,JJ,NN
RP,RB,DT,JJ,NNS
MD,VB,DT,NNS,IN
NN,IN,DT,JJ,NNS
CD,IN,DT,NNS,VBP
VB,VB,DT,JJ,NNS
WP,VBZ,DT,RBS,VBG
MD,VB,DT,NN,WRB
NN,IN,DT,NN,IN
DT,VBZ,DT,NN,IN
IN,IN,DT,JJ,NN
JJ,IN,DT,NN,IN
NN,IN,DT,NN,","
VBN,IN,DT,NN,VBZ
JJ,IN,DT,JJ,NN
NN,IN,DT,NN,","
CC,VBN,DT,NN,NN
IN,NN,DT,JJ,NN
NNP,",",DT,NN,","
JJ,IN,DT,NN,IN
TO,VB,DT,NN,NN
RB,IN,DT,NN,VBZ
VBG,IN,DT,NN,IN
CC,VBG,DT,JJ,NN
MD,VB,DT,JJ,NN
NNS,IN,DT,NN,NNS
NNS,IN,DT,NNP,''
IN,NN,DT,NN,IN
",",RB,DT,NN,VBZ
VBG,IN,DT,NN,WDT
VBP,VBG,DT,NN,IN
JJ,IN,DT,NN,IN
NN,IN,DT,NN,","
IN,",",DT,JJ,NN
MD,VB,DT,NN,IN
DT,NN,DT,NN,IN
JJ,IN,DT,JJ,NN
TO,VB,DT,NN,NN
IN,NN,DT,NN,NNS
NNP,IN,DT,NNS,MD
RB,IN,DT,NN,NN
IN,WRB,DT,NN,MD
CC,VBG,DT,JJ,NN
RB,NN,DT,NN,NN
TO,NN,DT,NN,NN
IN,VBG,DT,NN,NN
VBG,TO,DT,NN,NN
NN,CC,DT,NN,VBD
RB,",",DT,NN,IN
NN,IN,DT,NN,NN
",",RB,DT,NN,VBZ
RB,VB,DT,NNS,IN
",",VBG,DT,NN,NN
VBP,IN,DT,NN,IN
PRP,IN,DT,NN,.
RB,IN,DT,NN,NNS
NN,NNS,DT,NN,TO
VBZ,RB,DT,NN,IN
JJ,IN,DT,JJ,NN
RB,IN,DT,NNS,IN
NN,",",DT,NN,NN
NNS,IN,DT,NN,VBP
JJ,IN,DT,NN,IN
JJ,CC,DT,NN,IN
NN,",",DT,NN,IN
NN,IN,DT,NN,VBG
NN,IN,DT,NNS,","
MD,VB,DT,NN,IN
IN,IN,DT,NN,NN
NN,CC,DT,NNS,VBP
NNS,VBP,DT,NN,MD
MD,VB,DT,NN,IN
NN,",",DT,NN,IN
TO,VB,DT,NN,IN
MD,VB,DT,NN,TO
VBG,IN,DT,NN,NN
NNP,",",DT,NN,IN
NN,IN,DT,NN,``
MD,VB,DT,NN,IN
NNS,VBP,DT,NN,RB
NNS,",",DT,NN,MD
NNS,CC,DT,JJ,NNS
NNS,TO,DT,NNS,VBZ
JJR,IN,DT,JJ,NNS
VBZ,RB,DT,NN,IN
NN,IN,DT,NNS,WP
WP,RB,DT,NN,RB
NN,IN,DT,NN,WRB
NNS,VBP,DT,NN,TO
VB,IN,DT,JJ,NN
NN,IN,DT,NN,","
TO,VB,DT,NNS,WP
NN,",",DT,NNS,MD
VBN,",",DT,NNS,CC
NNP,",",DT,NN,IN
NN,IN,DT,NN,``
VBG,IN,DT,NNS,.
NNP,IN,DT,NN,CC
NNS,",",DT,NNS,IN
TO,VB,DT,JJ,NNS
TO,VB,DT,JJ,NNS
CC,VB,DT,NNS,IN
NNS,IN,DT,JJ,NN
VBP,VBN,DT,NN,.
VBP,IN,DT,NN,","
NN,",",DT,JJ,NN
NN,VBD,DT,JJ,TO
JJ,TO,DT,NN,IN
NN,IN,DT,NN,.
",",CC,DT,NN,MD
MD,VB,DT,NNS,WDT
NN,IN,DT,NNS,IN
VBZ,IN,DT,NN,CC
NN,CC,DT,NN,NN
WDT,NN,DT,NN,IN
NN,IN,DT,NN,NN
VBG,TO,DT,NN,CC
NN,IN,DT,NN,.
NN,",",DT,NN,NN
NN,IN,DT,JJ,IN
MD,VB,DT,NN,IN
VBP,",",DT,NN,MD
TO,VB,DT,NN,NNS
NNS,IN,DT,NN,NN
VBN,IN,DT,JJ,NN
RB,IN,DT,NN,.
JJ,IN,DT,NNS,VBP
NNS,VBP,DT,NNS,IN
NN,",",DT,NN,MD
MD,VB,DT,NNS,WDT
NN,IN,DT,NNS,VBD
VBZ,IN,DT,NN,IN
NN,IN,DT,NN,NN
VBZ,IN,DT,NN,VBD
RB,",",DT,NN,MD
MD,VB,DT,NNS,TO
PRP$,NNS,DT,NN,IN
RB,VB,DT,NNS,NN
RB,VB,DT,NNS,","
",",CC,DT,NN,MD
MD,VB,DT,NNS,WDT
NN,IN,DT,NNS,IN
NN,CC,DT,NNS,POS
NN,IN,DT,NNS,VBD
VBN,IN,DT,NN,NN
NN,IN,DT,NN,","
NN,VB,DT,NN,IN
NNS,IN,DT,NN,CC
NNP,NNP,DT,NN,IN
NN,",",DT,NNS,POS
NN,NNS,DT,NNS,VBP
VBP,IN,DT,NN,NNS
NN,",",DT,JJ,NNS
NNP,",",DT,NN,IN
NN,IN,DT,NN,``
'',",",DT,NNS,IN
NN,VBZ,DT,NN,NN
NN,",",DT,NN,NN
IN,IN,DT,RB,VBD
MD,VB,DT,NN,CC
WDT,VBZ,DT,NN,WRB
",",RB,DT,PRP,VBP
PRP,VBP,DT,NN,VBZ
VBZ,IN,DT,NNS,IN
NNS,IN,DT,NN,NN
MD,VB,DT,NN,VBG
RB,",",DT,NNS,IN
JJ,IN,DT,NN,VBG
CC,VBD,DT,NN,NN
DT,VBZ,DT,NN,WRB
TO,VB,DT,NN,IN
TO,VB,DT,NN,NNS
NNS,VBP,DT,NN,IN
NN,IN,DT,NNS,IN
